Atividades;Pesos_vol_varejo (Base 2022);Pesos_vol_varejo_ampliado (Base 2022)
Combustíveis e Lubrificantes;12.06%;7.19%
Hipermercados e Supermercados (+) Produtos Alimentícios, Bebidas e Fumo;54.00%;32.18%
Tecidos, Vestuário e Calçados;6.25%;3.72%
Móveis e Eletrodomésticos;6.93%;4.13%
Artigos Farmacêuticos, Médicos, Ortopédicos, de Perfumaria e Cosméticos;9.33%;5.56%
Livros, Jornais, Revistas e Papelaria;0.33%;0.20%
Equipamentos e Materiais para Escritório, Informática e Comunicação;1.43%;0.85%
Outros Artigos de Uso Pessoal e Doméstico;9.68%;5.77%
Veículos, Motocicletas, Partes e Peças;;16.82%
Atacado e Varejo de Material de Construção;;7.67%
Atacado Especializado em Produtos Alimenticios, Bebidas e Fumo;;15.91%
BRASIL;100.00%;100.00%
